Code	Waypoint Name
GC15PCH	My Parking Spot
GC15PF1	Duck-Billed Platypus
GC15PXQ	Rush Hour cache
GC15PZK	WIZARDS CACHE
GC15QJ1	ON-OFF
GC15QKP	Shadow
GC15QM6	Coon Grove Cemetery
GC15QNY	Boomer
GC15QQF	Beans, Beans
GC15R7J	I'm Soooo Confused
GC15RNQ	Here's The Church
GC15T2Y	Just a road side cache
GC15T39	T Road Cache
GC15THV	RT66:IL Get Your Kicks
GC15TN0	If You Can't Take the Heat, Get Out Of The...
GC15V97	HP Book 5 Chapter 18
GC15VJD	Tilles Tall Grass
GC15W1D	Old Sand Prarie Cemetery
GC15WM5	Gannon Coin Exchange
GC15WWW	Field of Dreams (Hide it and they will come)
GC15WX0	The Departed
GC15X8E	Yogi's Bison
GC15X9J	Down in the Hollow
GC15XFD	Dracula's Crypt
GC15XFH	Black Widow
GC15XFN	Tales from the crypt
GC15XGF	Troy TB Quick-Stop
GC15XHV	Cacher's Paradise
GC15XMG	B.W.W. My Home Away From Home
GC15XXQ	Did that _ _ _ _ _ win?
GC15XXV	Ping
GC15XY1	Pong
GC15XY6	Taz
GC15Y15	Waiting
GC15YDP	Shady Tree Cache
GC15YKF	What's in your crevice?
GC15YR4	End of the Line... Ride the Line Caches
GC15YZE	Tornado Alley
GC15Z33	The Lost Cache!
GC15Z3D	Cookie's Cache #1
GC15Z42	The ROCK & Roll BISON
GC15ZCT	Cookie's Cache #2
GC160KD	Park & Picnic
GC160KR	Just A Little Walk In The Park
GC1612G	FIRST BUTTERFLY REVISITED
GC1614A	MY DIARY REVISITED
GC16171	A GRANADA BISON
GC161YG	BOCCH
GC162G9	Stand
GC162KZ	Is it there?
GC162MA	*Zoom-Zoom*
GC162MH	Some where in the MIDDLE
GC1635W	Cinder Trail
GC163V4	WFP & BISON R.R. CO.
GC163VV	Tyson Valley Overlook
GC163YZ	HWV - The Preston House
GC163ZA	HWV - Deloris Hart
GC165E6	its a gas
GC16601	Lamellar Rock Cache
GC166CT	The Town & Country Bison
GC16741	Home Stead Hike
GC167BY	Ellisville's trails
GC167C8	For the Health of It!!
GC167E2	'Tis the Season
GC167E9	Believe it or Knot
GC167GM	NaCl
GC167H1	Greenie's Micro
GC167XB	Just Hangin' Around
GC167XX	Ellisville Trails part Deux
GC167ZY	Peppermint Patty's 1st
GC1682Z	Here's your sign
GC1687T	Lawn Ornaments
GC168MM	I've Been Working on the Railroad
GC168NH	poppys cache
GC168QE	PokéRunes
GC168R8	Greentree Bridge
GC168RG	Greentree Pavilion
GC168RR	Meramec Greenway Micro
GC168ZC	Get Your Kicks
GC168ZG	Fork Off the Road?
GC168ZJ	Who Brought the Chips?
GC16904	All That Glitters Is Not Gold
GC16912	Caverne dans Le Roc
GC169A2	Cache in your Chips
GC169DF	Where My Dogs At?
GC169N6	Waynesville Tiger Cache Me
GC169YT	Old Plank Road - Toll Booth #8 - Ross's Spring
GC16A8X	Minnows
GC16A97	fill 'er up and phone home
GC16A9B	Makin Tracks
GC16AB6	The Rock
GC16AHP	Dusable Park River Trail Cache
GC16AJV	Fox Hill Cache
GC16AMA	What's the Score?
GC16AV7	Pearl Chapel
GC16AWM	Fallen Heros
GC16BBX	MCT#1-Jefferson Barracks Bridge
GC16BCP	MCT#2-Palmier Cemetery
GC16BCV	MCT#3-A Tale of Two Levees
GC16BD4	MCT#4-Zoar UCC Church
GC16BD7	MCT#5-Three Roads
GC16BD9	MCT#6-Say Hello to Bee Tree
GC16BDE	MCT#7-D and HH
GC16BDK	MCT#8-Fountain Creek
GC16BDM	MCT#9-Deer Hill
GC16BDR	MCT#10-The Sun Never Shines Here
GC16BDY	MCT#11-Twins?
GC16BE1	MCT#12-Bond Creek Stone Bridge
GC16BE5	MCT#13-Moredock Lake
GC16BED	MCT#14-Old Valmeyer
GC16BEG	MCT#15-Salem-Baum Church
GC16BEP	MCT#16-Wartburg
GC16BET	MCT#17-Downtown Harrisonville
GC16BEV	MCT#18-Stone Arch Bridge
GC16BEX	MCT#19-Madonnaville
GC16BEY	MCT#20-48 LP3 SC
GC16BF1	MCT#21-Tipton
GC16BF7	MCT#22-St. Joe
GC16BFA	MCT#23-Historic Mayestown
GC16BFD	MCT#24-Chalfin Bridge
GC16BFF	MCT#25-Grants Pass
GC16BFJ	MCT#26-Southfork
GC16BFP	MCT#27-One Ugly Tree
GC16BFT	MCT#28-The REAL Stairway to Heaven
GC16BG0	MCT#29-Hear Them Bells?
GC16BG1	MCT#30-Fort de Chartres
GC16BG2	MCT#31-Prairie du Rocher
GC16BG3	MCT#32-Ste. Anne's Church
GC16BG5	MCT#33-The Calvary
GC16C4H	24
GC16CDT	Gregory
GC16CQZ	HAMBURG TRAIL POND
GC16CWX	Bringing Up The Rear
GC16CWY	Historical Ridgeway
GC16CX1	It's A Dog's Life: Casey's cache
GC16CX4	It's A Dog's Life: Maggie's Cache
GC16D94	HAMBURG TRAIL #2
GC16DFK	It's A Dog's Life: Sydney's Cache
GC16DG3	It's A Dog's Life: All Dogs All Star Cache
GC16F2B	 KLICK KLACK >>>
GC16GDB	RT66:MO-Route 66 State Park
GC16GF2	Waters Edge
GC16GJG	The Point Is Where It's At
GC16HKG	Walk away / Have a nice day : )
GC16HTM	Northern Geoshopping Revisited
GC16HWX	CORP OF DISCOVERY-BWA
GC16HXC	The german cache
GC16HZJ	Lunch Hour Fun!
GC16J0A	Beware of Hitchhikers
GC16J9Q	Favorite Places:  Pizza!
GC16J9R	Downing and Ward
GC16JA4	Abe and James
GC16JA9	Favorite Places: Art
GC16JAE	Three Bridges and a Little Doggie
GC16JAK	Are You a Peeping Tom?
GC16JCA	L05809
GC16JCE	Terminal Velocity
GC16JV9	The B'Ville 4 - #4
GC16JWN	The B'Ville 4 - #2
GC16JWT	The B'Ville 4 - #1
GC16JWV	The B'Ville 4 - #3
GC16KHW	FILIDA
GC16KKG	Luise
GC16KKZ	Her Husband
GC16KMB	And A Walk In The Park
GC16M82	Favorite Places:  Starting at Dusk
GC16M8E	Don't Forget to Floss
GC16MEY	HAMBURG TRAIL #3
GC16N3Q	And Yet Another One?
GC16N40	A BRIDGE CACHE?
GC16N44	Oh No!  Another one!
GC16N4M	For President?
GC16N4N	Good golly, It's Holly!
GC16N4X	Honey Lane
GC16N51	A Narrow Bridge
GC16N56	Otterbein Broad Ridge
GC16NQJ	An Igloo in Illinois
GC16NV1	Hang 'Em High on the Post
GC16P4J	Flower
GC16P6N	Old Claremont School
GC16PB1	DEVIOUS -n- DECEPTIVE
GC16PCN	The Waterslide Cache
GC16PD0	Cambury Cache
GC16PD5	Highway 100 Hillside Cache
GC16PDD	UGLY
GC16PDZ	Keeping an EYE on the DEAD END (Both of them.)
GC16PEG	Watch out for DYNAMITE!
GC16PF6	In Memory of I'm all a Twisted
GC16PMD	BY THE SCHOOL
GC16PN6	Your Name Here
GC16PN8	Bert
GC16PYW	NICE ROCKS
GC16Q6R	SCCC - Hagy
GC16QAA	Find Mike Iller
GC16QAC	Killer Cache
GC16QDQ	My Hometown
GC16QN7	The Pink Link
GC16QQH	A HAPPYKRAUT FREEBIE
GC16QQN	Historical Marker 5
GC16QR8	I'M SO ASHAMED
GC16QVQ	OLD STUMPY
GC16QW1	Historical Marker 4
GC16QWB	40th Birthday Cache
GC16QYP	Lickety-Split my Cupcake!
GC16QYR	Welcome to the Corral
GC16QYW	In view of Toxic Mountain
GC16QZ0	Buffalo Hanging in a Tree
GC16QZ2	K-Team 5K Congratulatory Cache
GC16QZ3	Pow Bang, Pow Pow Bang
GC16QZ6	Historical Marker #8
GC16RNW	HISTORICAL MARKER 6
GC16RQB	Can ye see der tree?
GC16T2Q	Lady's Travel Bug Doghouse
GC16T5Q	FOCUS
GC16TGE	Harke Park Ammo Box Reborn
GC16TGX	A Watchful Mother
GC16TKR	Trails to Rails
GC16TMX	Along the Hamburg Trail
GC16TN4	Hamburg Mile Marker
GC16TN8	Turnout
GC16TNE	Shoud Have Been An Ammo Box
GC16TYD	The Obelisk
GC16WA3	SAIC
GC16WT9	pekin scramble #1
GC16WTD	pekin scramble #3
GC16WTJ	pekin scramble #4
GC16WTK	pekin scramble #5
GC16WVQ	sams hot wheel drop off
GC16WZ3	Rockin' on Rt 66
GC16XQF	Flatlander's Bushwhack
GC16XZ9	Twin Lake Cache
GC16Y73	Are You A Sherlock?
GC16YA2	NEAR THE BRIDGE
GC16YD7	Get Your Eggs Here
GC16YWG	White Swan Landing
GC16YY5	Quail Run Travel Bug Hotel
GC16YYA	The Anti-Extreme Caching 102
GC16YZE	Dry Lake
GC16Z04	Baldwin Boat Ramp
GC16Z1P	RT66:MO-BY THE HOUR
GC16Z5F	Generally A Cache Here Now and Again
GC16ZQR	Insanely Sinister Baffling Numbers
GC170CN	The Back Side of In the Heart of the Land
GC171EM	Ma & Pa's Cache
GC171Q2	ChronoIconclastic Infidibulum
GC172G9	RT66:MO - Swinging Hillbilly
GC172GQ	RT66:MO - Totem Pole Crossing
GC172K9	wildgoose 3
GC172NE	HT#05-Samhain (Halloween) Tree
GC17317	Fairgrounds Cache
GC17385	Two of a Klein
GC1738C	How Puzzling #5
GC173AB	How Puzzling #4
GC173T8	Horse Pathways
GC173TY	In the Middle of Nowhere
GC173XZ	Lake 36-The West Side
GC173Y2	Lake 36-The East Side
GC173YZ	Get In or Get Out
GC174A9	RT66:MO-Stony Dell Resort
GC174AZ	RT66:MO - A Gathering of Hookers
GC174EC	Honey  Lane  cache # 1
GC174EM	Honey Lane Cache  # 2
GC174PY	FLOOD AREA
GC174QA	DARND OL' TREE
GC174QV	DARND OL ROCK  #2
GC174R3	DARND OL ROCK  #3
GC1758B	Ancient Ruins of SIUE
GC175A2	Dead Center
GC175EX	FORE
GC175JD	RT66:MO - The Devils's Elbow
GC1762M	X Marks the Spot (Peter Pan Final)
GC17689	The Lost Boys (Peter Pan #1)
GC1768P	Walk the Plank (Peter Pan #2)
GC1768T	Never Never Land (Peter Pan #3)
GC1768V	Tick Tock (Peter Pan #4)
GC1768X	Poor Nana (Peter Pan #5)
GC17784	RT66:MO - Stony Dell Resort #2
GC177CH	HT#06-Champ of N. St. Louis
GC177PX	Rebel Bend
GC177QB	I've Got a Nose for Geocaching
GC177RR	GUARDian of the view
GC177T4	In a root
GC177TF	A Micro in the Woods
GC177YX	Hanging by a Thread
GC177ZA	King's Throne
GC17801	Flash Cache Fit For A King on Gilmore
GC17807	Flash Cache Fit For A King on Clearwater
GC17808	Flash Cache Fit For A King on Raab
GC1780C	Flash Cache Star Search on Morrissey
GC1780H	Flash Cache Star Search on Washington
GC1780M	Flash Cache Star Search at College Hills
GC1780R	Flash Cache Star Search on Landmark
GC1780X	Flash Cache TakhomaCache on Vernon
GC17810	Flash Cache TakhomaCache on Raab
GC17812	Flash Cache TakhomaCache on Wylie
GC1781B	RT66:MO - At the Crossroads
GC178E9	Future Trail
GC178ED	Itsy Bitsy
GC178FE	HT RED PINE
GC178FW	Double Cross
GC178K7	turkey bayou 2
GC178MN	Ricochet
GC178W4	A Toss Up
GC178WC	Low Down in  the Heights
GC178WE	Edgewater Cache
GC178XM	Westward Ho!
GC178YM	Dusable Park Double
GC178YW	Twin Trees by the River
GC1791Y	Where is the Fat Man?
GC1797E	Easy Money
GC179B3	Chocolate
GC179EM	pekin scramble #6
GC179ER	the new pekin scramble # 2
GC179JR	Solid as a Rock
GC179QW	RAKKASAN!
GC179T0	Nice day for a CITO
GC17B85	Bloody Bill Anderson
GC17CVK	Bridge View
GC17DAB	Anything Goes
GC17DJ0	Bridan's Cache
GC17DJ3	Harris Scare Us
GC17DMM	Power 10 on 2
GC17DNE	Smoke Free (cough cough) Cache
GC17DNV	Nano Nanette
GC17E9W	RT66:MO - The Overlook
GC17EA9	What’s left?
GC17EGR	MO I-55 S Rest Area Exit 160
GC17EYJ	Twin Cities Tram Law
GC17F06	Aw, Nuts!!
GC17F0G	You've got to be kidding!!
GC17F5N	Slope Louis B
GC17FKX	Green Hill Cemetery Cache #2
GC17GKJ	Hollowood
GC17GMP	PPC Cache
GC17HNQ	Get Your Kicks On Route 66
GC17HNX	Waste Not, Want Not
GC17HQ1	Inbetween Here And There
GC17HWZ	Yorks of Knob Hill
GC17J1V	Yo, Adrian!
GC17J8E	Home Again
GC17J92	The Great Hamburger Conspiracy
GC17J98	Goose Crossing
GC17JJT	Kyla
GC17JNF	North Augusta's Best Kept Secret
GC17JRG	Trivial Pursuit Series - Blue-Geography
GC17JRH	Trivial Pursuit Series - Pink-Entertainment
GC17JRM	Trivial Pursuit Series - Yellow-History
GC17JRQ	Trivial Pursuit Series - Brown-Art & Literature
GC17JRT	Trivial Pursuit Series - Green-Science & Nature
GC17JRX	Trivial Pursuit Series - Orange-Sports & Leisure
GC17JRZ	Trivial Pursuit Series - The Hub-Final
GC17JTX	Rock Wall
GC17K8E	Holiday Gifts
GC17KCY	A Tiny Park
GC17KFJ	BASEBALL! (reborn)
GC17KFK	Kayak's First Cache
GC17KGQ	Crime Scene Investigator
GC17KTD	What, Closed AGAIN????
GC17KYP	German Sudoku Cache
GC17M39	Radio City Cache
GC17M4B	Brooke
GC17MGY	Bring the Kids!
GC17MJ6	Happy to be Bayou : )
GC17MQV	Tennis Anyone?
GC17MR2	Cami's Camo'd Cache
GC17MR6	Rt66:Mo-Diamonds Are Forever
GC17MRW	This is a SHARPIE CACHE!
GC17MVB	Green Acres
GC17MVH	ACORN Trail #1
GC17MVT	Twitty Arboretum
GC17MX8	A Dead Man Tells No Tales
GC17MZY	Rt66:MO-Diamond In The Rough
GC17NF9	Nyman's Diamonds
GC17NFC	Don't Run Me!
GC17NH2	RT66:MO-A Family Affair
GC17NYK	Red Bud's 1st.
GC17NZ5	Twin Lakes
GC17P1B	Sit Spot Sit
GC17P23	Bum's Jungle
GC17PMC	Between CYBret and Pneuma
GC17PPA	Pot O' Gold (Six)
GC17PY4	The Wild Woman Cache
GC17PY5	Know Your Flags
GC17PZA	Beer and Bulgoki
GC17PZR	Book Light
GC17Q9T	Star Search Trivia
GC17QEW	B.O.H. #1 - Gainesville
GC17QFA	B.O.H. #2 - Tully's Tavern
GC17QFN	B.O.H. #4 - Out at the Y
GC17QFV	B.O.H. #5 - Can You Hear Me Now?
GC17QG0	B.O.H. #6 - Racey Movies
GC17QGG	B.O.H. #3 - Borden's Farm
GC17QJC	At First Sight
GC17QK3	YELLOW POLES
GC17QKB	The Ultimate Prize
GC17QWH	Riverwood Trail DVD X-Change
GC17R6A	Iron Horse Trestle - Old North #2
GC17RKJ	Airport Park (Veteran's Park)
GC17RR6	Sachertorte
GC17RTC	River/Tower (Wakarusa 10)
GC17T0T	Ain't Gonna Need This House No Longer
GC17T35	A Cache at the West Church in Porterville, IL
GC17T57	Tsar Nicholas' McToy Gulag #2: Lakeview
GC17T5T	KU Park and Ride, East Lot V2.0
GC17T6A	Mysterious Exile
GC17T85	Sacred Ground to Veterans
GC17TER	Curbside
GC17TEY	Bumper Cars
GC17TG3	A Rivers View
GC17TVR	Lilly 1
GC17TXC	100 STEPS UP TO SCENIC VIEW
GC17VR9	Navigate this Nasty Nano (evil nano)
GC17VRE	Congrats GLP6
GC17VY5	Orale!
GC17WM1	Red Barn
GC17WPC	ash cache
GC17WRT	NiGhT At tHe mOvIeS
GC17WTN	I WOULDNT APROACH THIS ONE AT A HIGH RATE OF SPEED
GC17X3J	FAT LIGHTER
GC17X47	Old Doty Railroad
GC17X5X	Stop Horsin' Around
GC17XJ6	Rainy Tuesday
GC17XWZ	40 Bridges
GC17Y8V	pump it up
GC17YMX	In Plain View
GC17YN0	Hanging Around
GC17YN1	In the Leaves
GC17ZNF	Invasive Thicket
GC180JR	SS4 TB Hotel
GC180MD	Gene's Place
GC1811G	Strolling in Blanchard Woods
GC181AC	not as hard as you thought
GC181CQ	Isn't That Precious!
GC181CT	So Simple...
GC181D3	M
GC181MQ	Prairie View
GC181TC	KIRK
GC1825D	Wilkin
GC182CK	RT66: MO - Stairway to Heaven - Calvary
GC182G6	Silver Gates Cemetery (Illinois Spirit Quest 9)
GC182JV	Christmas Cache #2
GC182KD	Trippity-trop
GC182Q2	You CAN leave home without it -- just bring Cash!
GC183WD	T_K_ M_ 2 T_E M_VI_S
GC183WK	No Smoking!
GC18415	christmas surprise
GC18470	Red-Tailed Hawk
GC1849E	Rockwell Picture
GC184HX	IGGY
GC184PB	The nail that sticks out gets hammered down
GC18597	Motel 6 Nano
GC185KD	Heritage Trail-A Little Off the Trail
GC185KF	Heritage Trail-Getting Close to Town
GC185KG	Heritage Trail-Not in the Trees
GC185P3	You'll be Under Pressure to find this one.
GC185WY	Welcome to the Rock
GC186DP	What? Where Is It?
GC186QF	This Town Is Infested With Bruin
GC186V8	Bunting Park Micro
GC186VD	The Low Price Home
GC186VG	Ghost of Meyer Cemetery (ISQ~10)
GC186XH	Forgotten History: Bridge To Nowhere
GC18763	Name the Street
GC1876P	SW&7D: Happy
GC1876Q	SW&7D: Sneezy
GC1876R	SW&7D: Sleepy
GC1876T	SW&7D: Bashful
GC1876V	SW&7D: Doc
GC1876W	SW&7D: Grumpy
GC1876X	SW&7D: Dopey
GC187PW	Grams chache
GC1880R	The Eagles Have Landed
GC1881P	McTree
GC1885R	Not A Second To Spare #1
GC1886D	Not A Second To Spare #2
GC188NK	Burls Little Brother
GC188TJ	Marquette Heights Erratic Boulder
GC188TQ	The Erratic Hulk
GC188V7	Double erratic land marker
GC188ZY	Time for a Stretch
GC18906	Kaboom!!!
GC1890E	Front Row Seats
GC1890K	BK'S Place
GC1892Y	Fire Power!   #2
GC18947	I Spy!
GC1894K	Two Brothers
GC189CN	HHC???
GC18A7J	Main St. Waterloo
GC18AMX	holiday hangover
GC18ANF	2008 will be great!
GC18APX	the ark
GC18B2G	STUCK IN THE MIDDLE...WITH YOU
GC18BCD	Tilting in New Town
GC18BGT	407TPR
GC18BWF	Old Palestine Road Cache
GC18BWP	Short Stop
GC18C0R	Old St Peter Cemetery Cache
GC18C1J	Auto-pilot
GC18C41	Lacomo, Where is that thing?
GC18CAH	HP Series - Severus Snape
GC18CAN	HP Series - Lord Voldemort
GC18CAV	HP Series - Albus Dumbledore
GC18CAZ	HP Series - Rubeus Hagrid
GC18CB1	HP Series - Sirius Black
GC18CB4	HP Series - Sybill Trelawney
GC18CB6	HP Series - Harry Potter
GC18CRE	Pneuma's Mini-Bowel
GC18D2Y	Showin' Off
GC18D31	Flea Market
GC18DHN	Illinois'  Firsts
GC18DN1	Welcome to Kansas!
GC18DND	On the way to Moonshine
GC18DWK	Day Use
GC18E2T	Carpenter's Image
GC18E38	Not a Morrell
GC18ED7	High or Lowes??
GC18EGX	CC Sub
GC18EMQ	'Neeto Turn Out Cache
GC18ERQ	Old Palestine Road Cache #1
GC18F52	TOZA
GC18F60	da Bubba store
GC18FKB	Roubidoux Spring EarthCache
GC18FNA	Be My Valentine
GC18FNX	Homer D Post
GC18FV3	Failure to Launch
GC18G42	Why not? I'm here anyway!
GC18G5C	Wha'eva
GC18G6Y	Ridin Cowgirl
GC18G9V	Rock of Ages
GC18GA2	Frozen Treasures
GC18GA4	Pressure's On
GC18GN3	3DFLYER's HeliPad
GC18GNE	At least this one won't stump you.
GC18HXP	All The Leaves Are Brown
GC18J3H	Another Carondelet Cache
GC18JC7	THE VILLAGE OFFSET
GC18JTD	Mounds of Mulch
GC18KY7	FILM@364
GC18MGY	Tilting Redux
GC18MTA	Watch your step!
GC18MTD	A Sticky Situation
GC18MTP	Silent Signals, version 2
GC18MTY	Baker's Dozen # 2
GC18N1P	Pink Elephant Cache
GC18N76	looks can be decieving
GC18NGP	GOING GREEN
GC18P04	Queen's Throne
GC18PZ1	The Amazing Caching Kids First Cache Hide
GC18QWM	Children of the Sun
GC18TCQ	The Tin Cookie
GC18TKV	Arthur & Trillian's Coin and Bug Base Station
GC18TNN	Waupan (Water That Heals)
GC18TP0	The Erratic Slide...Slide To The Left...One Hop
GC18V2Y	Shake Your Boody - Twice
GC18V8W	Not Another Griswold's Vacation!
GC18VM6	winter blues
GC18VYH	Step up
GC18VZ7	Living Tree
GC18VZ8	Cliff Hanger
GC18W1J	Big 4
GC18W26	Walking with Lincoln
GC18W47	RANDOLPH CO. STATE RECREATION AREA
GC18WRH	Knothole Nugget
GC18WRT	Parked at Champ
GC18WTR	The New Rusche not so Rushed
GC18X8Q	Judy's golden prairie
GC18XAN	Eureka's BEST TB Hotel
GC18XVF	Strawberry Shortcut
GC18Y04	Pisces and Aries ~ A Travel Bug Hotel
GC18Y21	John & Rins Place
GC18YD2	Treasure N the TREE
GC18YT8	Just Some Tupperware in the Woods
GC18YVJ	SCAT!
GC18YWP	Bear Population Thinning Out In Town
GC18YXR	Dude, What's the score?
GC18ZPH	Timber Cache #1
GC18ZX5	What's Your 10-20?
GC18ZXD	Johnnie Cache
GC18ZXP	Area 51 - The Shaggy DA
GC19049	Old Gypsy Campsite
GC1904K	Maize Cradle
GC19055	313 A Covert Operation
GC190WX	IT'S A DEAD END!!!!!
GC1916K	Babler Springs
GC191AR	Ye Olde Babbler
GC191BA	CW#4 - Bell Witch Works Series
GC191BD	CW#5 - BOS (Book of Shadows) Witch Works Series
GC191BG	CW#6 - Candle Witch Works Series
GC191BJ	CW#7 - Wand Witch Works Series
GC191FZ	F.T.F.
GC192VY	Ivy League Cache
GC1942G	Findings Cache
GC1945R	STAR Roberts
GC194RY	The Village Idiot
GC194VA	Reading is Fundamental
GC1955G	Macon County Gaging Station
GC195A1	LARGE NATURAL FORM
GC195K4	-4 Ungrateful Platypus
GC195K8	-4 Unbelievable Jaguar
GC195W1	The Laughing Mallard
GC19607	Poor Old Pneuma
GC1969F	Klondike Quarry
GC196J5	Fountain Lakes Trifecta
GC196MG	Sappy Heasons 8^)
GC196Q2	It’sgottobearoundheresonewhere!
GC19793	Groovy-town Kids Cache
GC197MP	Bowers Built
GC198D2	Cowboy Up, Mr. Alien!
GC198XG	The Hartford Castle
GC198ZV	Shop til you drop
GC1994P	Cache for Cache - East Hills
GC1994Q	-4 Young Cougar
GC1994R	-4 Concerned Water-buffalo
GC199MP	Pleasurable Shopping Cache
GC19AB2	Doughnut Entrée at Palmer Fruit & Salsa
GC19AB3	Ze Wait at Golf Acres
GC19AB5	Ze Wait at Heritage Park
GC19BJ5	-4 Acrobatic Parrots
GC19BJ6	Jumping Jack Flash #1
GC19BJ8	-4 Jumping Flamingos
GC19BQX	Tree of Life
GC19CAY	Hail to the Chief - James Madison
GC19CHA	Art of Dennis Smith - Confederate Soldiers
GC19CMT	The Venusian Cache
GC19DFT	Four Way Rail
GC19DJ3	A Deer Runs Though It
GC19FME	Smoke Alarm
GC19KFG	I hate them, so I had to get it over with
GC19KYA	Regally Caching
GC19MC3	Green Street Monument Multi-Stage Cache
GC19MZ6	Lemonade Please
GC19N2W	I-55 North Bound Travel Bug Hotel
GC19P9G	525 New Bethel
GC19Q7C	Micro Design
GC19QC0	Kooped Up
GC19QDD	Oak Tree Park Cache
GC19R61	Middle of Nowhere1
GC19RCT	AS8
GC19RCV	AS9
GC19RD0	Boulder Pass
GC19RD4	Old house Drive
GC19RD8	Falling Friends
GC19RHK	Leap Over
GC19RM5	Dont Make Me Lose My Top
GC19RMC	Over the river
GC19RRZ	RetroRestStop
GC19T0P	Spaceball 1
GC19TBE	Lost park of Smallwood
GC19TV1	Foreclosed
GC19V8C	The Cat's Crossword Puzzle cache
GC19VZK	Nerves Of Steel
GC19W0K	LIMBO
GC19WKJ	S.F.C
GC19WVT	4 The Night
GC19X4B	Grocerysanyone!
GC19X4R	Empty
GC19X51	Parts Is Parts
GC19X54	The guard at the wall?
GC19X5C	Thanks to all who have served!
GC19X5R	A Cache Way Back Here?
GC19XFB	Mark Twain TB Resort
GC19XGE	Westbound 20 Leg-Stretcher
GC19Y70	SW&7D: Snow White (Redux)
GC19YCJ	The Hills are Alive
GC19YD4	Stadium Bluff
GC19ZE2	Pizza Anyone?
GC19ZGY	Night 4 fun
GC1A0ZW	Can you hear the music?
GC1A14J	Flags Of Our Fathers
GC1A198	Tidal Wave Card Trading Cache
GC1A1KV	Mystery of the Delta
GC1A203	Watching the Grass Grow
GC1A212	Whiteside Cemetery
GC1A21F	Stadium Bluff 2
GC1A25C	Oneforthemoneytwoforthecache.
GC1A391	Corn, Beans or Water?
GC1A3B4	Re-Moresed
GC1A3CM	Fulton Overlook Cache
GC1A408	DowntownStoypublicfacilities
GC1A40G	OnthewaytoaMoonburger?
GC1A435	This is a PUZZLE CACHE! EASY!
GC1A43A	This is a PUZZLE CACHE! DIFFICULT!!
GC1A46X	Fanning Deer Crossing Cache
GC1A4BZ	Get your mind out of the..You'll see
GC1A4R0	Who Wants to be a Governor?
GC1A548	Neighborhood Park-Brittlebank
GC1A54J	Neighborhood Park-Graham
GC1A5ED	Neighborhood Park-Anaconda
GC1A5YA	Hot Doc at the Pop Stop
GC1A6KM	Pine For You
GC1A6MV	Kid Dylan's First
GC1A6N7	Drost Park's Trail Head
GC1A6NJ	Bridge over Troubled Cache
GC1A6RN	Alice in Wonderland - Down the rabbit hole
GC1A7DP	All Day Long...
GC1A7PJ	County Road Cache
GC1A81B	-4 Preppy Chameleon
GC1A81C	-4 Paragliding Alpaca
GC1A8EA	Lily's Lair
GC1A8EP	  #236
GC1A8M8	Funny, she doesn't look Druish
GC1A8P5	Pizza The Hut
GC1A93G	Puppy Luv: Scooby Dee
GC1A9DC	Green Monster
GC1A9ZD	It's a Long Fly Ball
GC1AA8V	Brick House Pond
GC1AAPQ	KPark 2
GC1ABK7	Holding It Together
GC1AC33	A Monster of Green for the Queen
GC1AC7C	Brother, Can You Spare an Ammo Can?
GC1ACAQ	Near the Trails End
GC1AD0T	IN1946
GC1AD13	Lamar
GC1AD1D	I prefer the East Location!
GC1AD1K	Revved Up Like A Duece....
GC1AD4F	-TwoCs- A Safe Way To... Rock
GC1AD66	Young Zaphod's at it Again!
GC1ADG5	STAR ONE C1
GC1ADG6	ANIK F3
GC1ADG9	ECHOSTAR 3
GC1ADGA	INTELSAT 805
GC1ADGB	DIRECTV 8
GC1ADGC	AMC-7 (GE-7)
GC1ADYM	Dove Fields
GC1AE3Q	Honor a Veteran
GC1AE79	WELL!
GC1AE7E	CHICK ROAD
GC1AE7T	AC    -  DC  / SHORT CIRCUIT
GC1AE8B	All Along The Watchtower
GC1AE9Q	Oil of Joy ...  Has met it's match
GC1AEBP	Juvenile Jeers
GC1AECJ	TONTI2
GC1AEG8	I Scene It!
GC1AF0X	No Dumping
GC1AF9T	Under the Levee
GC1AFWF	Fried Old Bullion
GC1AFYD	Let's Play Clue #5
GC1AFZ9	In Honor of a Gentleman
GC1AFZQ	Where's da park ?!?
GC1AG1Z	Let's Play Clue #6 Final
GC1AGVG	Fried Imperfection
GC1AGYA	Welcome to Petersburg!
GC1AH4N	Rock Springs Erratic Rock
GC1AHFD	Thad rocks
GC1AHJW	BenchWarmer
GC1AHK4	Trapline #1
GC1AJPA	This is No Heman Container
GC1AJZV	Butterfield Biggie
GC1AK62	A little bit of country
GC1AK8G	Pin Monkey
GC1AM28	Riverside Condo
GC1AMC4	Pole Vault
GC1AMCV	Anybody got a light?
GC1AMDY	A Mountain or a Mole Hill
GC1AME6	Turkey Feathers
GC1AMEQ	The Legend of Sleepy Hollow
GC1AMF3	Troy   -   Collinsville    ???
GC1AMFC	Why Ask Why or Why Ask a Rookie
GC1AN9Y	CGCC 1
GC1ANHB	Osmoe cache
GC1ANHG	Meridian road cache
GC1ANNG	Coney Island
GC1ANPM	Nantucket Island
GC1ANQQ	Rock Island
GC1ANTG	Cedar Key
GC1ANVX	Kiawah Island
GC1ANW0	How Puzzling #7
GC1ANZ4	Just Hangin' Around
GC1AP15	Socotra Island
