GPS	Site	Street Address	City	ST	Zip	Location on Site	First Screen
38.50610400991245 -90.28384745121002	Missouri Civil War Museum	222 Worth Rd	St. Louis	MO	63125	Outside main entrance	Housed in historic Jefferson Barracks Post Exchange and Gym Bldg built in 1905.  Stuart Schuchardt, Artist
38.644746567941446 -90.28577595949173	Missouri History Museum	5700 Lindell Blvd.	St. Louis	MO	63112	Outside south (park) facing entrance	1st U.S. monument to Thomas Jefferson.  Public vote winner. Thomas Sleet, Artist
38.335737120460934 -90.14904096722603	Monroe County Courthouse	100 S. Main Street	Waterloo	IL	62298	In front of S. Market entrance	Monroe County is located in Illinois, in the southern portion known locally as "Little Egypt". Its county seat is Waterloo.
38.43490680703648 -90.19001573324203	Monroe County Welcome Center	6 Gall Road	Columbia	IL	62236	Outside of main entrance	Former one room school also contains the Shoemaker School Museum and One Room School Commemorative Plaza
38.655470475673695 -90.29868006706238	Moonrise Hotel	6177 Delmar Blvd.	St. Louis	MO	63112	Outside front of hotel	A 60-foot solar canopy with 107 glass solar panels, powers the whole rooftop and the rotating moon.  Artist, Dan Jaboor
38.570493 -90.88557100000003	Mount Pleasant Estates	5634 High St	Augusta	MO	63332	Inside the main tasting room	Originally named Mount Pleasant, the town incorporated in 1855 and renamed Augusta. Christy Martin, Artist
38.57159459919934 -90.46338379383087	Museum of Transportation	3015 Barrett Station Rd.	Ballwin	MO	63122	Adjacent to lower parking lot	Founded in 1944 by a group of  citizens who had acquired the mule-drawn streetcar "Bellefontaine."  Jane Saunders, Artist
38.63043093038062 -90.1898467540741	National Blues Museum / MX Complex	618 Washington	St. Louis	MO	63101	Outside of Blues Museum location	Opening in 2015, to explore the Blues and its role as the foundation of all modern American music. Mark Swain, Artist
38.87113450349715 -90.15076696872711	National Great Rivers Museum	2 Lock and Dam Way	Alton	IL	62002	In front of museum	Est. in 2003 as a learning center for the Mississippi River and its role as a working river. Danielle Corelle, Artist.  
38.56139352496928 -90.09211778640747	National Shrine of Our Lady of the Snows	442 S Demazenod Dr	Belleville	IL	62223	Outside by visitors center	Largest North American Outdoor Shrine with 212 acres of scenic beauty. Artist. April Morrison.
38.639089208083945 -90.23411929607391	Nine Network 	3655 Olive Street	St. Louis	MO	63108	In front of building	One of the most watched public TV stations in the US.  Indy Bowers, Artist
38.590484782796814 -90.21919280290604	Off Broadway	3509 Lemp Avenue	St. Louis	MO	63118	Outside in courtyard	Off Broadway - Kris Mosby, Artist
38.57087394284857 -90.19206359982	Old Cahokia Court House	107 Elm St	Cahokia	IL	62206	On porch of welcome center	Reconstructed French-Canadian structure built about 1740. Justin Tolentino, Artist
38.76390519277925 -90.18105983734131	Old Chain of Rocks Bridge	10500 Riverview Drive	St. Louis	MO	63137	Next to Riverfront Trail on MO side of bridge	5,353 feet long and is listed on the National Register of Historic Places. Katie Lucas, Artist
38.62555371575412 -90.18874168395996	Old Courthouse	11 N 4th St	St. Louis	MO	63102	On sidewalk facing the Arch	Finished in 1862 when the cast-and wrought-iron dome was completed. Henryk Ptasiewicz, Artist
38.65067255938364 -90.19729524850845	Old North St. Louis	2700 North 14th Street	St. Louis 	MO	63106	Outside of ONSL office	Old North was originally the independent village of North St. Louis from 1816-1841. Jack Bowe, Artist 
38.62898263593599 -90.19325315952301	Old Post Office	815 Olive Street	St. Louis	MO	63101	Outside main entrance	Only surviving of 5 U.S. Custom Houses built after the Civil War in America’s fastest growing cities. Rich Brooks, Artist
38.796659750804686 -90.33416837453842	Old Saint Ferdinand Shrine	#1 Rue St. Francois	Florissant	MO	63031	grassy area in front of Convent	Est. in 1789,  the church was built in 1821 and the convent in 1819.  
	Opera Theatre Saint Louis	210 Hazel Avenue	Webster Groves	MO	63119	On festival grounds west of theatre.	Founded in 1976 and internationally known for its inventive new productions and premieres.
38.6160552287107 -90.25072485208511	Original Imo's Pizza location.	Corner of Shaw and Thurman	St. Louis	MO	63110	Corner of Shaw and Truman	Imo’s first store, opened in 1964 at this location. Theresa Hopkins, Artist.
38.93024522188618 -90.33896684646606	Our Lady of the Rivers at Portage des Sioux 	End of LeSeurre Street	Portage Des Sioux	MO	63373	On walkway out to Shrine.	The Shrine commemorates the devastating flood of 1951. Lindsay Harmon, Artist
38.747203797225254 -90.39953783154488	Payne Gentry House	4211 Fee Fee Road	Bridgeton	MO	63044	Outside on front lawn	Missouri's only restored historic house with a doctor's office.  Genevieve Esson, Artist
38.6280900093524 -90.20206119892322	Peabody Opera House	1400 Market St	St. Louis	MO	63103	Outside of Market St. entrance	Founded as the Kiel Opera House, it opened it 1934. Marilyn Callahan, Artist
38.97184659605884 -90.54102972149849	Pere Marquette Lodge & Conference Center	13653 Lodge Blvd.	Grafton	IL	62037	Outside on patio (east side of building)	Named for Pere (Father) Jacques Marquette who was one of the first missionaries to visit the region. - Katherine Nelson, Artist
38.89807399439461 -90.19913122057915	Piasa Bird	Great River Road	Alton	IL	62002	Outside below Piasa Bird	Recognized in the travels of Marquette and Joliet before St. Louis was founded. Jennifer Gays, Artist
38.64017912657881 -90.2306042611599	Powell Hall	718 N Grand Blvd	St. Louis	MO	63101	S of Washington entrance	Erected in 1925 as the St. Louis Theatre, the building became Powell Hall in 1966.   Earl Miller, Artist
38.49408281056393 -90.83623766899109	Purina Farms	200 Checkerboard Dr 	Gray Summit	MO	63039	Outside in arena	Opened for operation in the 1920’s as a free, family friendly attraction.
38.65509333059303 -90.29723569750786	Regional Arts Commission	6128 Delmar Blvd	St. Louis	MO	63112	Outside on sidewalk	Partner in Cakeway to the West - has invested more than $76 million in the arts.  Artists: Alison Rieke and Jess Goldthorpe
38.61647901333885 -90.26873856782913	Rigazzi's	4945 Daggett Ave	St. Louis	MO	63110	Outside main entrance	Founded in 1957. The building was built in 1901 and remains a Saint Louis Landmark.  Public Vote Winner. Deann Rubin, Artist
38.90416725900499 -90.1435786485672	Robert Wadlow Statue	2809 College Avenue	Alton	IL	62002	Outside on plaza  	Alton's Gentle Giant was  8 feet 11 inches tall. Screwed Arts Collective, Artists
38.65413896170812 -90.28434365987778	Ruth Porter Park on the St. Vincent Greenway	5659 Delmar	St. Louis	MO	63112	Delmar and DeBaliiviere	Ruth C. Porter was a founding member of the Greater St. Louis Committee for Freedom of Residence. Liza Fishbone, Artist
38.63992295233561 -90.29395669698715	Saint Louis Art Museum	1 Fine Arts Dr	St. Louis	MO	63110	St. Louis IX, King of France statue plaza	Began in 1881 as the Saint Louis School and Museum of Fine Arts. Rich Brooks, Artist - Southwest Airlines, Sponsor.
38.63701369387526 -90.23262396454811	Saint Louis University	221 N Grand Blvd	St. Louis	MO	63103	Corner of Grand and Lindell	Oldest university west of the Mississippi River.
38.63389216141621 -90.29132008552551	Saint Louis Zoo	1 Government Dr	St. Louis	MO	63110	South entrance 	6,000 St. Louis schoolchildren helped raise funds to buy the first elephant in 1916.  Artist, Gregory A. Linton.
38.564117808770185 -90.38456976413727	Sappington House Museum	1015 S Sappington Rd	Crestwood	MO	63126	Outside by main sign	The Sappington Family came to the area in 1804-the same year Lewis & Clark set out on their expedition. Artists, Ursuline Academy Students
38.61321698586527 -90.31484708189964	Schlafly Bottleworks	7260 Southwest Ave.	Maplewood	MO	63143	Outside of main entrance	Founded by Dan Kopman and Tom Schlafly, Schlafly currently brews over 20 styles on this brewhouse. Ryan D. Frank, Artist
38.54926157095233 -89.86844837665558	Scott Field Heritage Air Park	763 Seibert Rd	Scott AFB	IL	62225	Outside, under wing of plane	Scott Field Heritage Air Park - Tom Hunt, Artist
38.637228210909775 -90.2150622010231	Scott Joplin House	2658 Delmar	St. Louis	MO	63103	Outside main entrance	Only museum in the world dedicated to Scott Joplin and his musical legacy. Bruce Howard, Artist
38.62618528307913 -90.20251214504242	Scottrade Center	1401 Clark Avenue	St. Louis	MO	63103	14th and Clark	Opened in 1994 and rests on the former site of Kiel Auditorium. Jeremy Brooks, Artist
38.591825521048015 -90.33787541429894	Serendipity Homemade Ice Cream	8130 Big Bend Blvd	St. Louis	MO	63119	Inside front window of shop.	This Public Vote Winner celebrates its 10th anniversary and has over 30 unique flavors. . Marianne Baer, Artist
38.638484781883314 -90.2921810746193	Shakespeare Glen	Fine Arts Drive 	St. Louis	MO	63112	North side of Fine Arts Drive at entrance to Shakespeare Glen	Shakespeare Festival St. Louis brings  the Bard's work  to over 100,000 each year in the park and in the streets.  Artist, Andy Cross
38.4820717652855 -90.82432061433792	Shaw Nature Reserve	307 Pinetum Loop Rd	Gray Summit	MO	63069	On the porch of the visitors center.	2,400 acres of reserve and 14 miles of walking trails. Elaine Taylor, Artist
38.64823053277981 -90.3419440984726	Shaw Park	231 South Brentwood Blvd.	Clayton	MO	63105	In front of Pool along Brentwood	Est. in 1935 - Clayton's oldest park. Rich Brooks, Artist.  Sponsored by Town & Style.
38.59285070944797 -90.31963750720024	Shrewsbury MetroLink Station 	7201 Landsdown Avenue	Shrewsbury	MO	63119	Outside in main station area	Shrewsbury MetroLink Station - Metro Staff, Artist
38.63694258311593 -90.19263356924057	Shrine of St. Joseph	1220 South 11th Street	St. Louis	MO	63106	South side of church	Only church in St. Louis designated as a site of a Vatican-authenticated miracle. Moira Smith, Artist
38.78534097148468 -90.4807524383	Shrine of St. Rose Philippine Duchesne	619 North Second Street	St. Charles	MO	63301	next to statue at corner of Clark & 2nd 	Mother Duchesne was beatified by Pope Pius XII. Megan Rieke, Artist
38.51245975953615 -90.67489072680473	Six Flags St. Louis	4900 Six Flags St Louis Railroad	Eureka	MO	63069	By fountain before ticket purchase area	Six Flags St. Louis opened in 1971 and is one of the three original Six Flags parks. Don Strohmeyer, Artist
38.54100631732906 -90.0331762433052	Skyview Drive In	5700 North Belt West	Belleville	IL	62226	grassy area behind screen #1	Sole remaining drive-in theater in the St. Louis area. Ray Harvey, Artist
38.62898810312743 -90.20006462931633	Soldiers Memorial	1315 Chestnut St	St. Louis	MO	63103	Chestnut side at top of stairs	Opened on Memorial Day, May 30, 1938. Victoria Szulc, Artist
38.61024771953103 -90.2014821767807	Soulard Market	730 Carroll St	St. Louis	MO	63104	South side of Market	The market had humble beginnings in 1779 as a meadow. Kathy Koerper, Artist
38.60948559702033 -90.20906209945679	Soulard Restoration Group	1911 S. 12th Street	St. Louis	MO	63104	in Community garden	Ensuring the success of the oldest surviving residential community in St. Louis. Rich Brooks, Artist
38.793099423670945 -89.99676525592804	Southern Illinois University Edwardsville	6 Hairpin Drive	Edwardsville	IL	62026	Main campus park	Est. in 1957 - Public Vote Winner. Autumn Huff, Heather Kniffel, & Carol Dappert, Artists
38.66348691313919 -90.64552456140518	Spirit of St. Louis Airport	18270 Edison Avenue	Chesterfield	MO	63005	park area in front of terminal	Opened in 1964 and is celebrating it's 50th anniversary in 2014. Theresa Hopkins, Artist
38.62063949654626 -90.23962184786797	SSM Cardinal Glennon Children's Medical Center	1465 South Grand	St. Louis	MO	63104	Main entrance/circle drive  off Park Ave.	Founded in 1956.  Cake sponsored by FabickCAT. Rich Brooks, Artist
38.507561 -90.379699	St. Anthony's Medical Center	10010 Kennerly Rd	St. Louis	MO	63128	Outside in front of building	Founded in 1900's and named after St. Anthony of Padua. Public vote winner.  Megan Rieke, Artist
38.75254168100612 -90.55078089237213	St. Charles County Heritage Museum at Heritage Park	1630 Heritage Landing	St. Peters	MO	63303	Outside building	Located on the site of Kuhlmann's Grove, a popular recreation area for nearly 100 years. Gina Harmon, Artist
38.782251 -90.48288200000002	St. Charles Old County Courthouse	100 North Third Street	St. Charles	MO	63301	Outside building	Architect Jerome Legg designed the current courthouse completed in 1901.  Zach Farmer, Artist
38.62444080798841 -90.40616691112518	St. Joseph's Academy	2307 S. Lindbergh	St. Louis	MO	63131	On front lawn by Lindbergh	This public vote winner is the 2nd all-girls Catholic high school in St. Louis. Laura Genovese, Artist
38.62909626271328 -90.2829971909523	St. Louis Arena	1110 Highlands Plaza Drive	St. Louis 	MO	63110	By the Mid America Transplant Foundation memorial	Located on "center ice" of St. Louis Arena, demolished in 1999. Sandra Schuchardt, Artist - Mid America Transplant Foundation, Sponsor.
38.63718998899525 -90.26488825678825	St. Louis Children's Hospital	1 Children's Pl	St. Louis	MO	63110	Outside near main entrance	Founded in 1879, is the oldest pediatric hospital west of the Mississippi River Public vote winner. April Morrison, Artist
38.62674634785248 -90.19904136657715	St. Louis City Hall	1200 Market St	St. Louis	MO	63103	Outside Tucker entrance	Completed in 1904 and inspired by Hotel de Ville or City Hall of Paris. Ashley Wenzel, Artist
38.63760554888436 -90.26252120733	St. Louis College of Pharmacy	4588 Parkview Pl	St. Louis	MO	63110	corner of Parkview Place and Euclid	A leader in pharmacy education, celebrating 150 years.  Public Vote Winner. Andy Cross, Artist.
38.64935922995489 -90.33912509679794	St. Louis County Courthouse	7900 Carondelet Ave	St. Louis	MO	63105	West side of complex by planters	Largest MO county by population.   Rich Brooks, Artist
38.63436921504334 -90.19560143351555	St. Louis Post-Dispatch	900 N Tucker Blvd	St. Louis	MO	63101	Outside main entrance	Founded in 1878 by Joseph Pulitzer.  Artist: Dan Martin
38.630398609847376 -90.19975751638412	St. Louis Public Library / Central Library	1301 Olive Street	St. Louis	MO	63103	Outside of Olive St. entrance	Founded in 1865 with a collection of 1,500 books.  Andy Cross, Artist
38.628893792797975 -90.27022182941437	St. Louis Science Center 	5050 Oakland Ave	St. Louis	MO	63110	Outside main entrance	One of only 2 science centers in the US with free admission. Artist, Dennis Smith.
38.62779833691439 -90.20788192749023	St. Louis Union Station	1820 Market St.	St. Louis	MO	63103	south plaza  under the train shed	Opened in 1894 as the largest terminal in the US. Tom Hunt, Artist
38.656112674238386 -90.30542850494385	St. Louis Walk of Fame	6605 Delmar	St. Louis	MO	63130	Outside by Chuck Berry statue	25th anniversary.  First inductees included Chuck Berry. Gina Harmon, Artist
38.6370314715541 -90.26884853839874	Steinberg Skating Rink	400 Jefferson Drive 	St. Louis	MO	63110	Outside at SW corner of the rink	Largest outdoor ice skating rink in the Midwest- Ian Greenlee, Artist
38.59475984811921 -90.23674182593822	STL-Style	3159 Cherokee St.	St. Louis	MO	63118	Outside front entrance	Founded in 2001 by twin brothers Jeff and Randy Vines.  Artist, STLStyle team
38.65979448634461 -90.23893117904663	Sumner High School	4248 Cottage Ave	St. Louis	MO	63113	Inside main entrance vestibule	1st high school for African-American students west of the Mississippi River. Theresa Hopkins, Artist
38.641190734617716 -90.3682351112	Sweetology	9214 Clayton Rd.	Ladue	MO	63124	Outside in parking lot median	New home for decorating or shopping for unique confections at this public vote winner.  Angela Perry, Artist.
38.770742754761315 -90.31023502349854	Taille de Noyer	1896 S New Florissant Rd	Florissant	MO	63031	Behind school, next to tennis corts and  historic home	Home of the Florissant Valley Historical Society.  Artist, Courtney Veszi.
38.589372948232125 -90.30797526240349	Ted Drewes	6726 Chippewa St	St. Louis	MO	63109	On west edge of parking lot	Public vote winner with 85 years of serving up one of STL's favorite treats! Mary Hessler, Artist
38.633487700419444 -90.3066810965538	The Cheshire	6300 Clayton Road	St. Louis	MO	63117	outside of hotel lobby	Started as a modest hamburger joint 80 years ago. Diane Hansen, Artist
38.596392041672004 -90.33266633749008	The College School	7825 Big Bend Blvd	Webster Groves	MO	63119	In front of school on Big Bend	Public Vote Winning school having their 50th anniversary of independent Pre-8 experimental education. Mary Jo Wilmes, Artist.
38.61574191605259 -90.27280747890472	The Hill	5130 Wilson Avenue	St. Louis	MO	63110	North of the Italian immigrant statue	Named after the highest point in the city of St. Louis. Rich Brooks, Artist
38.59890481407957 -90.45435011386871	The Lodge at Des Peres	1050 Des Peres Road	Des Peres	MO	63131	In front of the building.	Des Peres was founded in 1934 with a population of 550 - Kathy Otto, Artist
38.57384315221412 -90.40606606491019	The Magic House	516 S. Kirkwood Rd.	St. Louis	MO	63122	On front porch 	Opened in 1979 and is celebrating 35 years. Decorated by the Magic House team
38.64131131941566 -90.28018891811371	The Muny	#1 Theater Drive	St. Louis	MO	63112	North end of entrance in May Plaza	Opened in 1917 and built in 49 days.  Artists, Steve Pollihan and James Van Well.
38.639984498293636 -90.23321002721786	The Sheldon	3648 Washington Blvd.	St. Louis	MO	63108	outside in front of Sheldon	Opened in 1912 as the concert hall is known for its perfect acoustics.  Artist: The Sheldon.
38.60989759825314 -90.20357094705105	The Sweet Divine	1801 S. 9th Street	St. Louis	MO	63104	Outside front entrance	Could be historic Soulard's sweetest spot. Public vote winner.  Linda Kurdi, Artist
38.655738880728855 -90.30332364141941	Tivoli Movie Theatre	6350 Delmar	St. Louis	MO	63130	Outside entrance	90 years old this year - renovated in 1995.  Henryk Ptasiewicz, Artist
38.607704297460096 -90.25723542757453	Tower Grove Park	4256 Magnolia Ave.	St. Louis	MO	63110	Outside Piper Palm House 	Created by Henry Shaw and opened in 1872.  Mark Swain, Artist
38.63174241764276 -90.29244124889374	Turtle Park	6400 Oakland	St. Louis	MO	63139	On the hill near the park sign	It’s the work of Robert Cassilly, the genius behind the City Museum.  Liza Fishbone, Artist
38.64803902837838 -90.51011592149734	United Hebrew Congregation 	13788 Conway rd.	St. Louis	MO	63141	Outside of synagogue	It is the first Jewish Congregation established west of the Mississippi River. Henryk Ptasiewicz, Artist
38.656338390250916 -90.3110383450985	University City Lion Gates	6801 Delmar	University City	MO	63130	Outside across from City Hall	Installed in 1909 and called the "Gates of Opportunity". David Jackson, Artist
38.71757828860251 -90.308338701725	University of Missouri St. Louis	1 University Blvd.	St. Louis	MO	63121	University Pl. Dr. in front of Mark Twain Athletic Center	Est. in 1963, it is the largest university by enrollment in the St. Louis area with 16,809 students.
38.6412950241833 -90.2326226234436	Urban League of Metropolitan St. Louis	3701 Grandel Square	St. Louis	MO	63108	Inside building by window facing parking lot.	Founded after 1917 deadly race riot in East St. Louis. Lynsi Sciaroni, Artist - Sponsored by Bank of America
38.599329925182886 -90.21753385663033	Venice Café	1903 Pestalozzi	St. Louis	MO	63118	Outside the garden on sidewalk	Celebrating its 25th anniversary this year.  Artist, Screwed Artist Collective.
38.51276171227237 -89.97625038027763	Victorian Home Museum	701 E. Washington St.	Belleville	IL	62220	Outside main entrance	Collection includes a balcony from which Abraham Lincoln spoke in Belleville on October 18, 1856.Paul Laflam, Artist
	Vintage Vinyl	6610 Delmar	St. Louis	MO	63130	Under marquee in front of store	Local favorite and independently owned record store.  Artist, Mark Tillman
38.627401249898796 -90.19212394952774	Wainwright Building	111 N. 7th Street	St. Louis	MO	63101	Inside in rotunda on main level	Designed by Adler and Sullivan, is among the first skyscrapers in the world. Carey Seven, Artist
38.81095048229984 -91.14938959479332	Warren County Courthouse	104 West Main Street	Warrenton	MO	63383	Outside of Main St. Entrance	The first term of the Warren County Court was held in 1833.  Artist, Patty Spellman
38.55675295242486 -91.0113725066185	Washington Historical Society	113 E 4th Street	Washington	MO	63090	Outside on 4th St. porch	Washington MO was incorporated on 1839.  Gina Harmon, Artist.
38.635293565988945 -90.26294767856598	Washington University School of Medicine	520 South Euclid  Avenue	St. Louis	MO	63110	Outside entrance to medical school.	Founded in 1853, and named after George Washington.  April Morrison, Artist
38.58836487001179 -90.34188911318779	Webster University	572 Garden Ave.	Webster Groves	MO	63119	On grass in front of parking garage	Founded in 1915 by the Sisters of Loretto. Megan Rieke, Artist
38.86794148364321 -90.22628456354141	West Alton Memorial Park	Intersection of St. Charles Street and Hwy 94	West Alton	MO	63386	On plaza at St. Charles St. and Hwy 94	The Park is home to the Veteran's Memorial and the Memorial Bricks. - Lindsay Harmon, Artist
38.53567035142877 -90.53465276956558	World Bird Sanctuary	125 Bald Eagle Ridge Road	Valley Park	MO	63088	by flag pole 	Part of the Henry Shaw Corridor, which extends 40 miles along the Meramec River. Mark Swain, Artist
38.636486287398064 -90.28525829315186	World’s Fair Pavilion	5600 Clayton Ave	St. Louis	MO	63110	At the northeast corner of the pavilion	Built in 1909 with proceeds from the 1904 World's Fair. Henryk Ptasiewicz, Artist
38.66289839955763 -89.98224779963493	World's Largest Catsup Bottle	800 S. Morrison Ave.	Collinsville	IL	62234	Underneath the bottle	Built in 1949 of Riveted steel, 170 ft total height and has 100 ft legs. Julie Krovicka, Artist.
38.704204911436406 -90.45869797468185	YMCA of Greater St. Louis	12521 Marine Ave	Maryland Heights	MO	63146	Inside lobby by pool	160 years old - Public Vote Winner. Keith Cotton, Artist

